N = 16
k = 2 , l = 23 , inner_product =  3.7470027081099033e-16
k = 2 , l = 24 , inner_product =  3.5258254649228604e-16
k = 2 , l = 25 , inner_product =  6.106226635438361e-16
k = 2 , l = 26 , inner_product =  -2.0122792321330962e-16
k = 2 , l = 27 , inner_product =  4.718447854656915e-16
k = 2 , l = 28 , inner_product =  -7.658804146437603e-16
k = 2 , l = 29 , inner_product =  7.216449660063518e-16
k = 2 , l = 30 , inner_product =  -1.3877787807814457e-16
k = 2 , l = 31 , inner_product =  1.3877787807814457e-16
k = 2 , l = 32 , inner_product =  -1.0202342443088597e-15
k = 2 , l = 33 , inner_product =  -2.7755575615628914e-17
k = 2 , l = 34 , inner_product =  8.326672684688674e-16
k = 2 , l = 35 , inner_product =  3.3306690738754696e-16
k = 2 , l = 36 , inner_product =  -6.401129626354418e-16
k = 2 , l = 37 , inner_product =  2.498001805406602e-16
k = 2 , l = 38 , inner_product =  8.326672684688674e-16
k = 2 , l = 39 , inner_product =  -4.0939474033052647e-16
k = 2 , l = 40 , inner_product =  -5.670377362099188e-16
k = 2 , l = 41 , inner_product =  7.7021722333370235e-16
k = 2 , l = 42 , inner_product =  -2.2898349882893854e-16
k = 2 , l = 43 , inner_product =  1.457167719820518e-16
k = 2 , l = 44 , inner_product =  1.326196097384269e-15
k = 2 , l = 45 , inner_product =  -7.840950111415168e-16
k = 2 , l = 46 , inner_product =  1.0859368959614812e-15
k = 2 , l = 47 , inner_product =  -1.2559397966072083e-15
k = 2 , l = 48 , inner_product =  4.375839968151496e-16
k = 2 , l = 49 , inner_product =  -4.753142324176451e-16
k = 2 , l = 50 , inner_product =  1.4363510381087963e-15
k = 2 , l = 51 , inner_product =  -6.522560269672795e-16
k = 2 , l = 52 , inner_product =  9.601694439531627e-16
k = 2 , l = 53 , inner_product =  2.914335439641036e-16
k = 2 , l = 54 , inner_product =  -4.579669976578771e-16
k = 2 , l = 55 , inner_product =  7.563394355258879e-16
k = 2 , l = 56 , inner_product =  -1.3824661901362667e-15
k = 2 , l = 57 , inner_product =  1.214306433183765e-15
k = 2 , l = 58 , inner_product =  3.885780586188048e-16
k = 2 , l = 59 , inner_product =  -1.942890293094024e-16
k = 2 , l = 60 , inner_product =  -5.069729358542219e-16
k = 2 , l = 61 , inner_product =  -6.661338147750939e-16
k = 2 , l = 62 , inner_product =  4.494969578367794e-16
k = 2 , l = 63 , inner_product =  -1.4016565685892601e-15
k = 3 , l = 0 , inner_product =  8.326672684688674e-17
k = 3 , l = 1 , inner_product =  -1.0083080204115191e-16
k = 3 , l = 2 , inner_product =  8.326672684688674e-17
k = 3 , l = 3 , inner_product =  1.0
k = 3 , l = 4 , inner_product =  8.326672684688674e-17
k = 3 , l = 5 , inner_product =  3.469446951953614e-17
k = 3 , l = 6 , inner_product =  1.457167719820518e-16
k = 3 , l = 7 , inner_product =  -2.411265631607762e-16
k = 3 , l = 8 , inner_product =  0.0
k = 3 , l = 9 , inner_product =  1.9081958235744878e-16
k = 3 , l = 10 , inner_product =  0.0
k = 3 , l = 11 , inner_product =  -1.249000902703301e-16
k = 3 , l = 12 , inner_product =  4.0939474033052647e-16
k = 3 , l = 13 , inner_product =  -3.400058012914542e-16
k = 3 , l = 14 , inner_product =  3.7470027081099033e-16
k = 3 , l = 15 , inner_product =  -2.896988204881268e-16
k = 3 , l = 16 , inner_product =  1.249000902703301e-16
k = 3 , l = 17 , inner_product =  -3.727487069005164e-16
k = 3 , l = 18 , inner_product =  3.677613769070831e-16
k = 3 , l = 19 , inner_product =  3.400058012914542e-16
k = 3 , l = 20 , inner_product =  -2.0816681711721685e-17
k = 3 , l = 21 , inner_product =  -6.245004513516506e-17
k = 3 , l = 22 , inner_product =  3.2612801348363973e-16
k = 3 , l = 23 , inner_product =  -2.992397996059992e-16
k = 3 , l = 24 , inner_product =  3.3306690738754696e-16
k = 3 , l = 25 , inner_product =  1.214306433183765e-17
